**A Moon Bubble – Shot List**

VFX	SFX
Opening titles (animated title card)	- (no sound)
Shot 1: Barren lunar plain under black sky	Soft wind of vacuum, distant hum of life support.
Shot 2: Small spacecraft approaching moon, hull reflecting starlight	Silence or faint engine hum.
Shot 3: Spacecraft landing gear clicks into dust	Click‑clack sound of wheels on regolith.
Shot 4: Astronaut exits, glides, plants flag on gray ground	Soft footfall echo and flag wind.
Shot 5: Sudden explosion from moon’s core (burst of light and gas)	Sound of a distant explosion, crackle of ionized particles.
Shot 6: Moon begins to pop like a balloon, surface ripples and deflates	Pop sound, swirling gas effect.
Shot 7: Swirling gases curl into ribbons around astronaut; flag flutters violently	Gas ribbon motion, flag fluttering sound.
Shot 8: Hilltop observatory – sky‑watchers stare in amazement	Low rumble as moon drifts; distant crackle of ionized particles.
Shot 9: Moon hovers, spinning slowly with shimmering halo of gas	Soft hum of cosmic wind.
Shot 10: Moon buzzes around the sky, leaving glittering vapor trail	Sparkling vapor effect and faint buzzing.
Shot 11: Horizon lights up with iridescent colors as moon circles Earth	Ambient glow sound.
Shot 12: Space scene – expanding moon deflates completely	Soft echoing pops as each bubble bursts.
Shot 13: Last breath dissolves into sparkling particles drifting like snowflakes	Faint popping, wind chime.
Closing credits (animated credit roll)	- (no sound)
